youthPolicy.rnum,youthPolicy.bizId,youthPolicy.polyBizSecd,youthPolicy.polyBizTy,youthPolicy.polyBizSjnm,youthPolicy.polyItcnCn,youthPolicy.sporCn,youthPolicy.sporScvl,youthPolicy.bizPrdCn,youthPolicy.prdRpttSecd,youthPolicy.rqutPrdCn,youthPolicy.ageInfo,youthPolicy.majrRqisCn,youthPolicy.empmSttsCn,youthPolicy.splzRlmRqisCn,youthPolicy.accrRqisCn,youthPolicy.prcpCn,youthPolicy.aditRscn,youthPolicy.prcpLmttTrgtCn,youthPolicy.rqutProcCn,youthPolicy.pstnPaprCn,youthPolicy.jdgnPresCn,youthPolicy.rqutUrla,youthPolicy.rfcSiteUrla1,youthPolicy.rfcSiteUrla2,youthPolicy.mngtMson,youthPolicy.mngtMrofCherCn,youthPolicy.cherCtpcCn,youthPolicy.cnsgNmor,youthPolicy.tintCherCn,youthPolicy.tintCherCtpcCn,youthPolicy.etct,youthPolicy.polyRlmCd
414,R2023060213621,경기,지자체,청년 월세 지원(구 청년 취업자 월세지원),청년 가구의 주거비 부담 완화 및 안정적인 정주여건 조성,"월 10만원 지원* (1가구당 연 최대 120만원 / 분기별 사후 지급)
*월세가 10만원 미만인 경우 실제 납부금액만 지원",120명,2023. 01 ~ 2023. 12,2004,"상반기 : 2023. 1. 16.(월) ~ 2. 7.(화) 18시까지
하반기('23.5.)",만 19세 ~ 39세,제한없음,제한없음,제한없음,제한없음,"파주시 거주 만 19세 ~ 39세 이하 무주택 청년가구*
* 청년이 세대주인 가구 

자격기준(아래 사항 모두 충족하여야 함)
    ① (연령기준) 공고일 기준 만 19세이상 39세이하(1983. 1. 17. ~ 2004. 1. 16.)
    ② (주소기준) 주민등록상 주소지가 파주시인 청년 세대주
    ③ (소득기준) 가구소득이 기준중위소득의 120% 이하(건강보험료 기준)
    ④ (주택기준) 임차보증금 1억원 이하 월세 50만원 이하*
       - 전?월세환산율을 반영하여 월세 70만원이하까지 지원",-,-,경기도 일자리 플랫폼 온라인 신청,공통- 임대차계약서 통장사본 주민등록등본 및 가족관계증명서 본인신용정보조회서 건강보험납부확인서 지방세세목별과세증명서,선발방법 - 심사기준표에 의한 정량평가(소득60 임차보증금40),https://apply.jobaba.net,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=1871,https://www.paju.go.kr/index.do,파주시 청년정책과,김동영,031-940-8662,-,- -,-,-,주거
415,R2023060213617,경기,지자체,취업지원 프로그램,공공기관 대비 NCS 취업전략 이력서 및 자기소개서 클리닉 직무특강 등 취업지원 프로그램을 제공함으로써 청년층의 취업역량 및 직무역량 강화,"청년옷장 면접정장 대여 
청춘사진관 이력서사진 무료 촬영 
자격증 응시료 지원 사업 
온라인 '취업서류' 개별 클리닉 
온라인 '화상면접' 개별 클리닉 
공공기관 대비 NCS 취업전략 
NCS 평가 실전풀이 
취업서류 작성법 
직무역량강화 (실무엑셀/한글 파워포인트 콘텐츠크리에이터) 
직무특강 (마케팅 금융 서비스기획 유통/물류)",프로그램별 상이,2023.01.01.-2023.12.31.,2001,프로그램별 상이함,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,양주시 거주자 우선 만19-39세 미취업자,-,-,양주시청년센터 홈페이지 신청-승인,프로그램별 상이함,승인 문자 발송,https://www.yangju.go.kr/youth/selectEduLctreWebList.do?key=3180,https://www.yangju.go.kr/youth/contents.do?key=3178,https://www.yangju.go.kr/youth,양주시청 복지문화국 아동청소년과,정안나 주무관,031-8082-6077,양주시청년센터,- -,-,-,교육
416,R2023060213616,경기,지자체,청년옷장 및 청춘사진관 운영,지역 청년들의 구직 비용을 경감하고 취업성공을 응원하고자 면접정장 무료 대여 및 이력서 사진 무료 촬영 지원,"(청년옷장)
면접정장 무료 대여(연간 총 10회 3박4일/회)
* 남자-자켓 바지 셔츠 구두 벨트 넥타이
* 여자-자켓 스커트 바지 블라우스 구두 

(청춘사진관)
사진촬영 및 인화 포토샵 보정 및 정 장합성 지원 촬영부터 인화까지 원스톱 서비스",-,2023.01.01.-2023.12.31.,2001,"청년옷장 : 연중 상시
청춘 사진관 : 2023.02.~2023.11.(현 공고 2023.05.11.~2023.05.26.)",만 19세 ~ 39세,제한없음,제한없음,제한없음,제한없음,"채용 면접 예정인 양주 청년(만19세~만39세)
양주소재 대학 재학생 고3 취업준비생 신청가능(채용면접 예정자) - 신청 시 추가전달사항에 ‘학교명’ 작성",-,-,"청년옷장 - 양주시청년센터 홈페이지 신청 승인 방문 대여
청춘사진관 - 양주시청년센터 홈페이지 접수 후 첨부서류를 메일로 발송 또는 현장에서 첨부서류 확인",면접예정증빙자료,승인 문자 발송,https://www.yangju.go.kr/youth/contents.do?key=3185,https://www.yangju.go.kr/youth/contents.do?key=3185,https://www.yangju.go.kr/youth,양주시청 복지문화국 아동청소년과,정안나 주무관,031-8082-6077,양주시청년센터,- -,-,-,교육
417,R2023060213594,경기,지자체,청년옷장,면접을 앞둔 청년들이 정장구입에 대한 부담 없이 자신감을 갖고 면접에 임하여 취업에 성공할 수 있도록 면접용 정장을 무료로 대여하는 서비스를 제공,"지원내용: 면접용 정장 무료대여
   - 남자: 자켓바지셔츠구두벨트넥타이
   - 여자: 자켓스커트블라우스구두",남자(400벌) 여자(800벌),연중,2001,상시,만 19세 ~ 39세,제한없음,제한없음,제한없음,제한없음,신청일 현재 의왕시에 주민등록상 거주하는 취업면접을 앞둔 의왕시 청년,-,연령 주소,"주민센터 방문 신청
- 청년옷장 대여 쿠폰발급(SMS 문자 발송)
- 청년옷장 이용자 면접 정장 대여 가능",신분증 면접증빙서류(면접자명 면접일시 명시),-,https://www.uiwang.go.kr/UWKORINFO0101/6947016,https://www.uiwang.go.kr/UWKORINFO0101/6947016,https://www.uiwang.go.kr/index,의왕시청 기업일자리과,임혜경 주무관,031-345-2717,주관기관과 동일,- -,-,-,복지
418,R2023060213611,경기,지자체,미취업청년 어학자격시험 응시료 지원사업,미취업 청년 고른 취업기회 제공과 역량강화 비용 지원,"청년 어학(자격)시험 응시료 지원 연3회(최대 30만원)
  - 도내 청년 1인 연3회 회당 최대10만원 실비 지원
   ※ 단 청년1인 지원 합산금액 10만원까지는 횟수 제한없음
   ※ 15천원 응시료인 시험을 3회 보는 경우 기본 제한 요건상 최대 45천원까지만 지원 가능. 다만 단서조항에 따라 15천원 응시료인 경우 7회까지 지원할 수 있음 (6회 15천원 7회 10천원 지원)
  - 지급방식 : 계좌이체

자격종류 : 어학 19종 국가기술자격 544종 국가공인 민간자격 95종",-,2023.01.01~2023.12.31.,2004,"2023.05.01.~2023.06.30.

2023.10.02.~2023.11.30.",만 19세 ~ 34세,제한없음,미취업자,제한없음,제한없음,"도내 거주 미취업 청년(만19~34세)
  - (연령기준일) 1988. 1. 2. ~ 2004. 1. 1.(2023년 1월 1일 기준 만34세~19세)
   ※ 지원 연령의 경우는 시군 조례에 따라 연령을 달리 정하고 있음
  - (요건) 응시일 기준 미취업 지원년도 1. 1.부터 신청일까지 경기도 거주",-,"(참여시군) 30개 시군
   ※ 성남시(자체추진)
   ※ 23년 1차(5월) 신청은 사업 신청일 전 예산확보 된 시군부터 개시",신청일 당시 도내 주민등록지에 신청,-,-,-,-,-,이천시청 일자리정책과,이나경 주무관,031-644-4182,주관기관과 동일,- -,-,선정기준 : 시군별 사업비 소진 시 선착순(접수순서) 마감,교육
419,R2023060213610,경기,지자체,청년 면접정장 무료대여 사업,취업준비 청년 구직비용 부담 완화를 위한 면접정장 대여비용 지원,"1인당 연 5회 면접 정장 대여
*대여 관련 사항은 업체별 상이",-,2023.01.01~2023.12.31.,2004,"2023.02.01.~2023.12.15.
*예산 소진 시 조기종료",만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,① 현재 이천시에 주민등록을 둔 고교졸업예정자~만39세 이하 청년구직자② 이천시 소재의 대학에 재학 또는 휴학 중인 취업준비생,"서비스 이용절차
  - 이용자 안내문을 읽고 업체별 정장보유량 및 대여품목을 확인 후 통합접수시스템에서 신청
   ① (관내) 아르코발레노 이천점 : 전화예약(☎0507-1422-7777 또는 방문예약) ※일시적 네이버 예약 중단
   ② (관외) (주)스완제이 판교점 및 용인점 : 쿠폰 번호를 네이버예약사이트(예약자 정보-요청사항)에 입력하여 대여업체 방문일 예약
  - 예약일에 대여업체 방문(신분증 지참) 및 치수 측정 의류 선택
  - 정장 수령 및 반납
   ① (관내) 방문을 통한 정장 수령 면접 후 방문 반납
   ② (관외) 방문 또는 택배를 통한 정장 수령 면접 후 방문 또는 택배 반납(택배비 시 부담)
    ※ 택배 반납: 대여기간 내 발송 접수일을 반납일자로 간주(도착일 무관)",-,통합접수시스템 로그인 후 신청 (https://apply.jobaba.net),"해당자에 적합한 증빙서류 제출(①+③ 또는 ②+③)
   ① 이천시 거주자: 주민등록 등·초본
    ※ 마이데이터(신청사이트)로 제출 또는 사업 신청일로부터 30일 이내 발급 서류 첨부
   ② 대학생: 재학증명서(학생증 사본 가능) 등 학적 확인 가능 서류
   ③ 면접증빙자료(신청자 인적사항 회사 면접 확인 서류 면접 통보 문자 이메일 등)",-,https://www.jobaba.net,https://www.jobaba.net/sprtPlcy/info/view.do?seq=9893&cntType=O,-,이천시청 일자리정책과,박준희 주무관,031-644-4183,주관기관과 동일,- -,-,"유의사항
  - 신청 서류 정보가 부정확하거나 사실과 다를 경우 그 외 제출서류가 누락된 경우에는선정 과정에서 배제될 수 있습니다. (이름 생년월일 휴대폰 이메일 면접관련 정보 등)
  - ‘아르코발레노 이천점’은 예약 전 반드시 정장보유량 확인해주시기 바랍니다.
  - 온라인으로 예약할 시 반드시 쿠폰번호 입력해주시기 바랍니다.
  - 대여기간 연장 연체 및 의류 손상 분실의 경우 대여자가 직접 부담하여야 합니다.
  - 사업비 조기 소진 시 사업이 중단될 수 있습니다.",교육
420,R2023060213589,경기,지자체,양평청년 꿈Dream지원 서비스 (면접정장 무료대여),구직을 앞둔 우리군 청년들에게 면접용 정장 무료대여 서비스를 실시하여 취업부담을 경감시키고 구직활동을 촉진하여 취업 성공을 지원하는 정책,"(남자) 자켓 팬츠 셔츠 구두 넥타이 벨트
(여자) 자켓 스커트 블라우스 구두",1회 42000원(왕복택배비 포함 1인당 최대 연5회)지원,2023.1~2023.12,2001,상시,만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,신청일 현재 주민등록상 양평군에 거주하는 만 18세-39세 이하 청년,-,-,일자리지원사업 통합접수시스템을 통해 온라인 접수 -> 자격확인 후 무료쿠폰 문자 발급 -> 업체대여,서비스신청서 개인정보활용동의서 면접증빙서류,"지원 대상 자격(군민 청년 면접)여부 확인
1일 이상 소요",https://apply.jobaba.net,https://www.yp21.go.kr/www/contents.do?key=3615,https://www.yp21.go.kr/www/index.do,양평군청 경제산업국 일자리경제과(청년팀),김태연 주무관,031-770-2626,주관기관과 동일,- -,-,-,교육
421,R2023060213605,경기,지자체,청년 내일로 사업 운영,관내 기업에 관내 미취업청년을 고용할 경우 2년간 인건비 지원 및 3년차 인센티브 지원,"관내기업에 취업 연계
참여청년 근속인센티브 지급(3년차)",-,연중,2004,2023.02.06.~2023.02.10.,제한없음,제한없음,미취업자,제한없음,제한없음,의왕시 거주 미취업청년,-,주소,기업일자리과 방문,-,-,-,http://www.uiwang.go.kr/UWKORWEL1603,https://www.uiwang.go.kr/index,의왕시청 기업일자리과,박혜영 주무관,031-345-2715,주관기관과 동일,- -,-,연 1회 예정(모집공고 확인),교육
422,R2023060213584,경기,지자체,청년 심리상담실 운영,취업스트레스 사회적 요인 등으로 인한 심리적 불안감 등을 관리 및 상담지원,연간 심리검사 1회 상담 10회 제공 ( 원예 미술 음악 등을 활용한 심리치료 병행),-,연중,2001,상시,만 19세 ~ 39세,제한없음,제한없음,제한없음,제한없음,의왕시 거주 만19~39세 청년,-,연령주소,청년발전소 고천센터 방문 신청 -> 전문기관 연계 -> 심리검사 및 상담 진행,신청서(개인정보 수집 및 제공 동의서 포함)1부 신분증사본,-,-,https://www.uiwang.go.kr/UWKORWEL1601,https://www.uiwang.go.kr/index,의왕시청 기업일자리과,정다운 주무관,031-345-2716,주관기관과 동일,- -,-,2001,복지
423,R2023060213580,경기,지자체,일자리 박람회 개최,다양한 취업정보와 현장면접의 기회 제공으로 구직활동 활성화 및  인력난을 겪는 기업에 필요 인력 제공,-,-,연 2회(상반기 하반기),2005,미정,제한없음,제한없음,제한없음,제한없음,제한없음,구직 희망 관내 미취업자,-,제한없음,-,-,-,-,https://gyeonggi.work.go.kr/uiwang/main.do?regionCd=41430,https://www.uiwang.go.kr/index,의왕시청 기업일자리과,이은정 주무관,031-345-2463,주관기관과 동일,- -,-,상반기 하반기(2회 예정),교육
424,R2023060213579,경기,지자체,일자리센터 운영,구인구직 상담 계층별 취업지원 등을 통한 실업률 해소 및 취업률 제고,-,-,연중,2001,상시,제한없음,제한없음,제한없음,제한없음,제한없음,-,-,제한없음,-,-,-,https://gyeonggi.work.go.kr/uiwang/main.do,https://gyeonggi.work.go.kr/uiwang/main.do,https://www.uiwang.go.kr/index,의왕시청 기업일자리과,김성희 주무관,031-345-2462,주관기관과 동일,- -,-,-,교육
425,R2023060213559,경기,지자체,청년 면접 완전정복,미취업 청년을 대상으로 면접을 위한 이미지컨설팅 및 모의 면접을 통한 구직 스킬 향상,"이미지 메이킹 개인별 코칭
면접이론강의 실전 모의면접 등",-,2023.01.~2023.12.,2004,6.1 ~ 6.16,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,의왕시 거주 미취업청년,-,연령 주소,신청서 이메일 접수,참가신청서,-,-,http://www.uiwang.go.kr/UWKORWEL1603,https://www.uiwang.go.kr/index,의왕시청 기업일자리과,박혜영 주무관,031-345-2714,주관기관과 동일,- -,-,연 2회 예정(모집공고 확인),교육
426,R2023060213578,경기,지자체,청년 취업완성 밀착 스터디,미취업 청년을 대상으로 지원 분야별 스터디 그룹 운영 및 소그룹 밀착 컨설팅,"소그룹별 커리큘럼 구성 및 방향설정
스터디 및 멘토링 병행",6명,2023.01.~2023.12.,2004,2023.02.28.~2023.03.10.,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,19세-39세 관내 미취업 청년,-,연령 주소,E-mail제출(phy8473@korea.kr),참가신청서,-,http://www.uiwang.go.kr/UWKORINFO0101/6978399,http://www.uiwang.go.kr/UWKORINFO0101/6978399,http://www.uiwang.go.kr/UWKORWEL1603,의왕시청 기업일자리과,박혜영 주무관,031-345-2713,주관기관과 동일,- -,-,-,교육
427,R2023060213557,경기,지자체,지역주도형 청년일자리 사업(도전!양주 청년미래로 일자리사업),청년의 인건비 지원을 통한 청년 취업 확대 및 지역 정착 유도,"* 청년 인건비 월 최대 160만원 지원 교통비 10만원 지원 직무교육
* 인센티브 대상자 년 1000만원 지원(분기별)",17명,2023.01.01. ~ 2023.5.31.,2005,"일몰사업으로 2023년도 신규 신청자는 없음
* 인건비 월별 신청 인센티브 분기별 신청",만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,"양주시 거주자 만18세~39세 
사업 2년 참여 후 정규직전환(인센티브) 유지","정규직 전환(유지) 후 
3개월 이후 인센티브 지급","나이 지역 요건 고용상태 
불부합자",일몰사업으로 기 사업참여자 대상,"사업참여신청서 자기소개서 초본 
고용보험 피보험자격 이력확인서",일몰사업으로 기 사업참여자 대상,-,https://www.yangju.go.kr/www/index.do,-,양주시청 복지문화국 아동청소년과, 정  미 주무관,031-8082-5871,주관기관과 동일,- -,-,-,일자리
428,R2023060213575,경기,지자체,자격증 응시료 지원 사업,청년들의 고른 취업기회 제공과 고물가 시대 취업준비 비용 부담완화를 위해 미취업청년 어학·자격시험 응시료를 지원,청년 1인 연3회 회당 최대10만원 실비 지원,어학 19종 국가기술자격 544종 국가공인 민간자격 95종,2023.01.~2023.12.,2004,"- (1차) 2023. 5. 1.(월) ~ 2023. 6. 30.(금)
- (2차) 2023. 10. 2.(월) ~ 2023. 11. 30.(목)",만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,"지원대상 : 도내 거주 미취업 청년(19-39세) 
- (23. 1. 1.기준) 1983. 1. 2.부터 2004. 1. 1.까지 출생자 
- 23. 1. 1.부터 신청일까지 경기도 거주 신청일 당시 주민등록상 양주시에 거주 
- 23. 1. 1.이후 실시한 시험의 응시자 중 시험 응시일 당시 미취업자 
* 응시일 기준 건강보험 직장가입자는 제외",-,-,온라인신청 → 적격심사 → 선정통보,"지원신청서 
개인정보 수집 이용 제공에 관한 동의서. 
지원 유의사항 확인서 
시험 결제 영수증 
시험 응시 증빙서류 
주민등록초본 
건강보험료 자격득실 확인서 
본인명의 통장사본","선정방법 : 선착순(제출서류 미비한 경우 제외)
지급방법 : 개인별 계좌입금",https://apply.jobaba.net/special/GGtestfees/main.do,https://www.yangju.go.kr/youth/selectBbsNttView.do?key=3192&bbsNo=360&nttNo=167631,https://www.yangju.go.kr/youth/index.do,양주시청 복지문화국 아동청소년과,정안나 주무관,031-8082-6077,양주시청년센터,- -,-,-,일자리
429,R2023060213573,경기,지자체,양평군 청년인턴십 사업,역량을 갖춘 미취업 양평 청년들과 정규직 채용이 가능한 관내 기업과 일자리를 매칭하고 인건비 일부를 지원함,"지원 조건 및 내용
  - 지원인원: 1기업 최대 3명 이내
    * 고용노동부 경기도 및 타 고용지원사업 등 중복지원 가능
  - 지원기간: 인턴기간 3개월 + 정규직 전환 시 6개월 추가지원(최장 9개월)
  - 임금기준: 1인 월230만원 이상(세전) * 양평군 생활임금 적용시 월2215400원
  - 지원금액: 1인 월130만원
    * 단 중식비 및 4대보험료 중 사용자부담금은 채용기업에서 부담함
  - 지원조건: 인턴지원 협약(기업<->양평군) 인턴약정(기업<->인턴) 체결
  - 근무시간: 인턴약정이 정하는 바에 따름(당해 기업의 근로시간 기준)
  - 연장근로 휴게시간 휴일 등 기타 근로조건은 근로기준법 당해기관의 단체협약 
     당사자간 합의에 의해 자율적으로 결정",20명 내외,2023.1~2023.12,2004,2023.02.13.~2023.03.10.,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,신청일 당시 양평군에 주민등록이 되어 있는 미취업 청년(만18~39세) 또는 근로계약일로부터 1개월 이내 양평군 전입 예정인 청년,-,"- 채용예정인 기업의 사업주와 친?인척 관계 등 특수관계에 있는 자
- 대학 재학생(단 졸업직전 방학중 ? 통신 ? 사이버 ? 야간대학교 재학생 제외)
- 지원예정 기업에서 연수 취업 또는 병역특례 근무한 사실이 있는 자
- 청년인턴 1개월 이상 근무 후 본인의 귀책 사유로 약정이 중도 해지된 자
- 그 외 부적격자라고 판단되는 자",일자리경제과 청년팀 방문 및 이메일(libholic@korea.kr)접수,사업참여신청서 구직신청서 개인정보 이용 동의서,"- 기업 및 청년 선발 확정 (2023. 3. 25)
- 인턴 배치 및 근무개시 (2023. 4. 1)",https://www.yp21.go.kr/www/selectBbsNttView.do?key=1119&bbsNo=5&nttNo=231053,https://www.yp21.go.kr/www/selectBbsNttView.do?key=1119&bbsNo=5&nttNo=231053,https://www.yp21.go.kr/www/index.do,앙평군청 경제산업국 일자리경제과(청년팀),조혜연 주무관,031-770-2625,주관기관과 동일,- -,-,-,교육
430,R2023060213553,경기,지자체,양평愛 청년 통장,양평군에 거주하며 근로중인 청년들의 자산형성을 지원함으로써 관내 중소기업 등 취업을 촉진하고 장기근속을 유도 및 지역 경제 활성화 기여 정책,지원내용 :  양평군 거주 근로 청년이 매월 일정금액(월 14만원)을 저축하면 동일 금액을 군에서 매칭 적립,50명,2023.1~2023.12,2004,8.7 ~ 8.18,만 18세 ~ 39세,제한없음,재직자,중소기업,제한없음,"*모집 공고일 기준 양평군에 거주 근로하는 청년(양평관내 중소기업 등에 36시간 이상 근무하고 3개월 이상 재직 중인 자)
*(근로소득) 월 과세급여 250만원 이하인 자",-,-,경기도 일자리지원 통합정보시스템(https://apply.jobaba.net/)에 접속 > 신청서 및 증빙서류 양식 다운 > 구비 서류 양식 작성 및 증빙서류 구비 > 홈페이지 신청,참여신청서 신청자격 자가진단 및 필수사항 확인·동의서개인정보수집·이용 및 제공동의서 등,-,https://apply.jobaba.net,https://www.yp21.go.kr/www/contents.do?key=3636,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=1285#detailData,양평군청 일자리경제과 청년팀,김태연 주무관,031-770-2626,양평군청 일자리경제과 청년팀,- -,-,-,주거
431,R2023060213551,경기,지자체,청년여성세무회계사무원 양성 과정,전문직종 진입이 어려운 여성 청년들을 위해 교육의 기회를 제공하고 취업을 알선하여 자립 및 경제활동의 기회 제공,전산회계 ERP회계 전산세무 등의 교육(53일 212시간)을 운영하고 자격증을 취득할 수 있도록 지원 및 교육 후 취업까지 연계,20명,2023.3.16.-2023.5.31.,2004,2023년 2월 1일(수) 부터 2023년 3월 8일(수) 오후 5시까지 서류 마감,만 20세 ~ 40세,제한없음,"경력단절여성 등(실업)을 대상 자영업자일경우 연간 8천만원 미만인자는 가능
자영업자 미취업자",저소득층 (기초생활수급자) 장애인 여성가장,대졸 예정 대학 졸업 석?박사 기타(전문과정 대학졸업에 준하는 교육과정 이수한 경력단절여성 등),등본상 주소지가 경기도인 여성 중 경력단절여성으로 취약계층 우대,자기부담금 10만원을 제출 후 교육 80퍼센트 이상 수료시 5만원 환급 6개월 내 취업시 5만원을 환급함,고용보험가입자 개인사업자 중 연매출 8천만원 이상인 자,"안양여성인력개발센터에 방문하여 서류작성 후 면접에 참가하여 20명 선발
주민등록등본(사본) 증명사진 1매를 가지고 안양여성인력개발센터 방문
직업교육훈련 과정참가신청서 구직신청서 개인정보수집동의서를 작성
면접참석후 합격자에 한헤 자비부담금 10만원을 입금"," - 사진1매 주민등록등본(사본)1부 교육신청서 구직신청서(내방 후 작성)
",2023.3.9.(오후1시 30분) 면접심사 후 선정 안양여성인력개발센터 홈페이지에 게시,https://www.anyang.go.kr/youth/contents.do?key=3647,https://www.anyangcenter.or.kr/page/sub3_1.php?id=2415&page=1&mode=read,https://www.anyang.go.kr/main/selectBbsNttView.do?key=261&bbsNo=63&nttNo=329939&searchCtgry=&searchKrwd=&pageIndex=1&integrDeptCode=,안양시청 복지문화국 여성가족과,이수진 주무관,031-8045-2484,안양여성인력개발센터,경기도 특화사업 이영애 총괄국장,031-453-4360,교육수료후 안양여성인력개발센터내의 여성새일팀을 통해 취업연계,일자리
432,R2023060213566,경기,지자체,경기청년 역량강화 기회 지원 사업(청년 자격·어학시험 응시료 지원),청년의 구직활동에 필요한 자격증 및 어학시험 응시료를 지원하여 경제적 부담 경감 및 취업률 향상 도모,"1인 연3회 회당 최대 10만원 이내 어학 19종 한국사능력검정시험 
 국가기술자격 국가공인 민간자격 응시료 실비 지원(최대30만원)",900명,2023.01.01.- 2023.12.31.(예산소진 시 사업종료),2004,5.1.~11.30.,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,"지원자격 : 도내 거주 미취업 청년(만19~34세)
  - (연령기준일) 1988. 1. 2. ~ 2004. 1. 1.(2023년 1월 1일 기준 만34세~19세)
   ※ 지원 연령의 경우는 시군 조례에 따라 연령을 달리 정하고 있음
  - (요건) 응시일 기준 미취업 지원년도 1. 1.부터 신청일까지 경기도 거주
  - (신청) 신청일 당시 도내 주민등록지에 신청
  - (참여시군) 30개 시군
   ※ 성남시(자체추진)
   ※ 23년 1차(5월) 신청은 사업 신청일 전 예산확보 된 시군부터 개시

- 23년 1월 1일부터 신청일까지 주민등록상 경기도에 거주 중인 자

- 1983년 1월 2일부터 2004년 1월 1일까지 출생자

- 2023년 1월 1일부터 실시한 자격증 어학시험 실제 응시자",지급방식 : 계좌이체,정부지자체타기관 유사 사업 참여자,일자리재단(잡아바) 통합접수처시스템(선착순 마감),시험 결제영수증 시험성적표 주민등록초본 건강보험자격득실확인서 등,반기별 접수(1차:5~6월 2차:10~11월)  선착순 개인별 계좌 지급,https://apply.jobaba.net/special/GGtestfees/main.do,https://apply.jobaba.net/special/GGtestfees/main.do,https://www.jobaba.net/sprtPlcy/info/view.do?seq=10272&cntType=O,안양시청 청년정책관,임찬우 주무관,031-8045-5779,주관기관과 동일,- -,-,4~5월중 공고 예정,주거
433,R2023060213518,경기,지자체,청년인턴일자리사업,미취업 청년에게 공공부문에서 경력형성이 가능한 일자리를 한시적으로 제공하여 취업지원 및 취업준비 기간 동안 경제적으로 안정적인 생활을 할 수 있도록 함,주 5일 8시간 근무 시급 10440원 주휴 및 월차 수당 지급,100명,2023.01.01.-2023.12.31.,2004,6.12 ~ 6.16,만 18세 ~ 34세,제한없음,미취업자,제한없음,제한없음,오산시에 주민등록이 되어있는 만 18세-34세 미취업 청년,지급방식: 월별 참여자 근태관리 기록부(출근부) 기준 지급,"취업상태 : 모집공고일 기준 고용보험 피가입자 지원 불가 (현 청년인천 참여자 예외)
중복참여 : 타 재정지원일자리사업 중복 참여자 오산시 타부서 기간제 근무자 지원 불가
제외신분 : 모집공고일 기준 고등학교 대학교 대학원 등 교육기관 재학생 졸업유예(수료) 및 졸업예정자 지원 불가 (단 방송통신대학 및 사이버대학 등 학점은행제 대학생 야간대학 재학생은 지원 가능)",모집공고 확인후 잡아바 온라인 접수,주민등록초본 최종학력증명서 자기소개서 자격증 사본,서류전형 및 면접전형,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=1794,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=1794,-,오산시청 경제문화국 일자리정책과,김성희 주무관,031-8036-7593,주관기관과 동일,없음 없음,-,공고확인필수,교육
434,R2023060213532,경기,지자체,중소기업과 미취업청년 상생사업,중소기업이 미취업 청년을 정규직으로 채용한 경우 채용장려금을 지원함,3개월간 최대 300만원을 기업에 지원,10명,2023.03.~12.,2004,23. 4. 24.~ 선착순 마감,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,만 19-39세 오산 청년,-,연령 주소,우편 및 현장접수,신청서 사업자등록증 근로자 주민등록 초본 근로계약서 4대보험 가입내역서 임금대장 임금이체내역 기업통장사본,-,http://osancci.korcham.net/front/board/boardContentsView.do?boardId=10795&contId=90638&menuId=5224,http://osancci.korcham.net/front/board/boardContentsView.do?boardId=10795&contId=90638&menuId=5224,https://www.jobaba.net/sprtPlcy/info/view.do?seq=10694&cntType=O,오산시청 경제문화국 일자리정책과,박새봄 주무관,031-8036-7573,주관기관과 동일,- -,-,공고확인필수,일자리
435,R2023060213528,경기,지자체,사회적경제 캥거루사업,미취업 청년에게 사회적경제기업의 일자리 제공,청년참여기업에 임금 지원,20명,연중,2001,2021년 공고 참조,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,만 19-39세 오산 청년,-,-,공고,참가신청서,심사없음,-,-,-,오산시청 경제문화국 일자리정책과,이성훈 주무관,031-8036-7585,주관기관과 동일,- -,-,-,일자리
436,R2023060213527,경기,지자체,오산청년 소셜미디어 일자리사업,오산내 기업이 미취업 청년을 소셜미디어 업무로 채용한 후 인건비 등 지원,오산내 기업이 미취업 청년을 소셜미디어 업무로 채용한 후 인건비 등 지원,3개소,2023.03.01.~2023.12.31.,2005,-,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,만 19-39세 오산 청년,-,연령 주소,우편 및 현장접수,신청서 등 해당서류,-,https://www.osan.go.kr/portal/saeol/gosi/view.do?notAncmtMgtNo=39889&mId=0302010000,https://www.osan.go.kr/portal/saeol/gosi/view.do?notAncmtMgtNo=39889&mId=0302010000,-,오산시청 경제문화국 일자리정책과,박새봄 주무관,031-8036-7573,주관기관과 동일,- -,-,공고확인필수,교육
